000209;P;16;40
000637;B;19;48
033743;B;35;46
033794;B;16;40
036687;B;29;38
036715;B;20;40
036824;B;27;69
036860;B;29;38
036906;B;29;38
036961;B;20;32
037400;B;29;38
037466;B;24;38
037609;B;16;40
037949;P;19;48
038027;P;33;83
038842;B;20;40
040290;P;20;40
041613;B;20;40
041657;B;29;38
042047;B;20;40
043453;B;24;38
062628;B;29;38
064287;B;20;32
068730;B;16;40
081190;B;29;38
082189;B;29;38
084709;B;24;38
085624;B;29;38
086342;B;20;40
091533;B;16;40
091647;B;20;32
097118;B;24;48
097152;B;16;40
097864;B;20;32
098021;B;16;40
098357;P;20;40
098877;P;20;32
099031;B;24;38
099148;P;20;32
099287;B;24;38
102779;B;35;46
105008;B;24;38
111648;B;16;40
111679;B;35;46
113074;B;28;46
113350;B;16;40
113593;B;28;46
116436;B;20;40
121223;B;20;40
121239;P;16;40
134299;B;28;46
154110;B;29;57
154191;B;19;48
170205;P;34;55
