733;B;right
17337;B;right
25254;B;right
26310;B;right
31325;B;right
31343;B;right
45909;B;right
46421;B;right
50474;B;right
50486;B;right
64369;B;right
64388;B;right
74370;B;right
74384;B;right
74518;B;right
76029;P;right
76089;B;right
76100;B;right
76111;B;right
76120;B;right
101809;B;right
102428;B;right
104915;B;right
104954;B;right
105208;B;right
105232;B;right
113585;B;right
115389;B;right
115401;B;right
115453;B;right
115458;B;right
117779;B;right
121619;B;right
121645;B;right
121664;B;right
126998;B;right
128188;B;right
128228;B;right
134738;P;right
134748;P;right
134754;P;right
135234;B;right
135319;B;right
135905;B;right
153248;B;right
